,mean,std,number_of_edges,quadratic_sum_deviation,dominant_direction,dominant_percentage,second_dominant_direction,second_dominant_percentage,mean_deviation,skew,kurtosis
Norwalk,0.155,0.591,8421.0,26.715,"(80, 90]",28.465,"(0, 10]",15.711,0.88,-0.007,2.033
Santa Fe Springs,0.175,0.638,6191.0,13.487,"(80, 90]",18.624,"(0, 10]",15.684,0.676,-0.011,1.642
Hawaiian Gardens,0.168,0.434,637.0,121.641,"(80, 90]",63.108,"(0, 10]",13.815,1.476,0.379,4.058
Manhattan Beach,0.006,0.665,4781.0,19.459,"(150, 160]",17.465,"(80, 90]",15.813,0.926,-0.104,1.83
Veterans Administration,-0.163,0.685,1091.0,11.623,"(140, 150]",21.723,"(50, 60]",11.549,0.534,0.293,1.502
Westwood,-0.043,0.722,5741.0,3.908,"(140, 150]",12.82,"(150, 160]",9.789,0.378,0.082,1.438
Westlake Village,0.076,0.665,4072.0,0.458,"(90, 100]",7.564,"(80, 90]",7.22,0.13,-0.093,1.62
Canoga Park,0.242,0.526,4318.0,54.566,"(80, 90]",37.818,"(0, 10]",22.117,1.23,0.003,2.58
West Covina,0.137,0.646,15537.0,8.771,"(90, 100]",16.786,"(0, 10]",14.372,0.535,-0.11,1.729
Windsor Square,0.226,0.529,506.0,34.64,"(80, 90]",27.668,"(90, 100]",22.925,1.015,0.113,2.27
Exposition Park,0.247,0.47,1756.0,73.132,"(90, 100]",37.073,"(80, 90]",30.353,1.507,0.677,2.23
Historic South-Central,0.275,0.612,3464.0,51.007,"(20, 30]",31.669,"(110, 120]",29.013,1.202,-0.074,1.298
Vermont Square,0.268,0.435,2058.0,97.859,"(80, 90]",48.591,"(0, 10]",25.121,1.674,0.916,2.377
Valley Village,0.216,0.545,2055.0,64.576,"(80, 90]",38.005,"(0, 10]",25.499,1.387,0.079,2.502
Downtown,0.163,0.67,10202.0,17.113,"(30, 40]",21.721,"(120, 130]",17.34,0.676,-0.101,1.301
Sepulveda Basin,-0.001,0.581,944.0,11.127,"(90, 100]",17.373,"(80, 90]",16.631,0.563,0.115,2.219
Sun Valley,0.083,0.64,8031.0,13.126,"(90, 100]",14.693,"(80, 90]",14.058,0.757,-0.007,1.719
Reseda,0.237,0.526,5731.0,55.178,"(80, 90]",38.056,"(0, 10]",21.864,1.239,0.053,2.51
Lake Balboa,0.204,0.591,3193.0,37.026,"(80, 90]",28.061,"(0, 10]",22.675,1.06,-0.094,2.223
Leimert Park,0.233,0.635,1348.0,20.883,"(0, 10]",21.291,"(80, 90]",18.694,0.836,-0.252,1.938
Baldwin Hills/Crenshaw,0.21,0.629,4347.0,8.503,"(90, 100]",17.46,"(0, 10]",13.895,0.458,-0.193,1.763
