,count_of_nodes_in_graph,count_of_edges_in_graph,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,self_loop_proportion
Compton,5157,10145,3.934,602821.75,59.421,2.347,5008,338904.081,5908,57.364,1.0,0.0
Arlington Heights,636,1379,4.336,66627.8,48.316,2.3,626,33978.526,712,47.723,1.0,0.0
Harvard Heights,597,1285,4.305,55378.526,43.096,2.305,593,28876.785,661,43.687,1.0,0.0
Lomita,1284,2562,3.991,108102.033,42.194,2.161,1183,56404.177,1360,41.474,1.0,0.0
Encino,6017,12041,4.002,407917.214,33.877,2.091,5741,211884.885,6221,34.06,1.0,0.0
West Carson,1386,2465,3.557,126204.55,51.199,2.167,1269,75426.943,1469,51.346,1.0,0.0
Carthay,435,839,3.857,34201.252,40.764,2.294,434,19089.158,484,39.44,1.0,0.0
Harbor Gateway,3182,5522,3.471,282066.942,51.081,2.21,3084,172557.081,3402,50.722,1.0,0.0
Jefferson Park,638,1365,4.279,89721.44,65.73,2.362,624,48189.762,727,66.286,1.0,0.0
West Adams,1061,2164,4.079,115046.607,53.164,2.314,1021,62307.946,1204,51.751,1.0,0.0
Brentwood,5731,10924,3.812,321397.568,29.421,2.093,5545,174481.598,5921,29.468,1.0,0.0
Rancho Palos Verdes,8435,15737,3.731,496697.149,31.562,2.078,8035,275841.738,8688,31.75,1.0,0.0
Beverly Crest,5113,10029,3.923,202999.38,20.241,2.019,4893,102628.826,5099,20.127,1.0,0.0
Rancho Park,565,1030,3.646,40660.429,39.476,2.163,553,22861.226,588,38.88,1.0,0.0
Palms,1974,3762,3.812,135689.275,36.068,2.209,1951,77059.837,2134,36.111,1.0,0.0
El Segundo,1988,3853,3.876,185310.524,48.095,2.284,1940,105779.424,2236,47.307,1.0,0.0
Venice,2358,4725,4.008,196550.964,41.598,2.267,2272,105689.048,2640,40.034,1.0,0.0
Tarzana,4611,9287,4.028,311632.767,33.556,2.093,4403,161691.547,4784,33.798,1.0,0.0
Woodland Hills,11304,22709,4.018,675446.793,29.744,2.097,10956,356764.88,11818,30.188,1.0,0.0
Carson,8940,15258,3.413,731763.984,47.959,2.194,8534,454954.94,9714,46.835,1.0,0.0
Harbor City,1481,2888,3.9,118797.759,41.135,2.204,1400,64152.118,1587,40.424,1.0,0.0
Beverly Grove,929,1918,4.129,113206.906,59.023,2.467,926,59475.414,1093,54.415,1.0,0.0
Signal Hill,1683,3168,3.765,114662.984,36.194,2.183,1622,64613.32,1785,36.198,1.0,0.0
North Hollywood,3562,7206,4.046,363975.605,50.51,2.28,3491,195588.942,4010,48.775,1.0,0.0
Diamond Bar,7887,14462,3.667,556602.394,38.487,2.089,7373,325035.97,8195,39.663,1.0,0.0
Toluca Lake,705,1428,4.051,73597.163,51.539,2.277,671,39580.051,778,50.874,1.0,0.0
Downey,7129,13428,3.767,719379.531,53.573,2.244,6770,409926.218,7931,51.687,1.0,0.0
Beverly Hills,5438,10767,3.96,329831.073,30.634,2.161,5386,174802.441,5797,30.154,1.0,0.0
Rolling Hills Estates,2280,3848,3.375,122213.935,31.76,2.098,2164,72927.982,2329,31.313,1.0,0.0
University Park,998,1767,3.541,62775.761,35.527,2.179,988,38287.408,1060,36.12,1.0,0.0
Northridge,6153,12638,4.108,486074.187,38.461,2.129,5776,247113.273,6520,37.901,1.0,0.0
West Hills,6427,13119,4.082,438747.954,33.444,2.11,6131,224383.371,6748,33.252,1.0,0.0
Hermosa Beach,1654,3395,4.105,122855.119,36.187,2.32,1591,67412.459,1889,35.687,1.0,0.0
Industry,4503,7326,3.254,266331.971,36.354,2.096,4419,168111.871,4503,37.333,1.0,0.0
Fairfax,523,1194,4.566,76869.194,64.38,2.461,517,39047.5,621,62.878,1.0,0.0
South Gate,3603,7094,3.938,398374.761,56.157,2.296,3552,217547.184,4041,53.835,1.0,0.0
Norwalk,6045,11089,3.669,656134.208,59.17,2.324,5792,391160.096,6962,56.185,1.0,0.0
Santa Fe Springs,4451,7626,3.427,309828.724,40.628,2.171,4307,193805.345,4724,41.026,1.0,0.0
Hawaiian Gardens,569,1075,3.779,54483.659,50.682,2.343,559,30390.036,641,47.41,1.0,0.0
Manhattan Beach,2677,5784,4.321,301305.685,52.093,2.473,2592,163556.325,3272,49.987,1.0,0.0
Veterans Administration,735,1123,3.056,40262.125,35.852,2.125,730,25794.032,764,33.762,1.0,0.0
Westwood,3100,6184,3.99,191768.913,31.01,2.171,3079,100449.273,3323,30.228,1.0,0.0
Westlake Village,2624,4353,3.318,122324.252,28.101,2.103,2534,77262.858,2725,28.353,1.0,0.0
Canoga Park,3010,6356,4.223,242946.75,38.223,2.164,2926,122497.585,3226,37.972,1.0,0.0
West Covina,8607,16530,3.841,829292.907,50.169,2.179,8049,457518.243,9235,49.542,1.0,0.0
Windsor Square,347,788,4.542,44654.552,56.668,2.395,347,22503.331,397,56.683,1.0,0.0
Exposition Park,1115,2261,4.056,118876.242,52.577,2.33,1108,64916.716,1264,51.358,1.0,0.0
Historic South-Central,1741,3728,4.283,190368.745,51.065,2.364,1732,101475.63,2014,50.385,1.0,0.0
Vermont Square,1243,2869,4.616,179929.082,62.715,2.422,1239,93175.642,1473,63.256,1.0,0.0
Valley Village,1409,2850,4.045,140569.941,49.323,2.269,1366,77667.79,1571,49.438,1.0,0.0
Downtown,6506,10733,3.299,369288.857,34.407,2.187,6441,236066.4,7052,33.475,1.0,0.0
Sepulveda Basin,757,1070,2.827,40977.487,38.297,2.091,753,30747.662,760,40.457,1.0,0.0
Sun Valley,4723,9320,3.947,491760.535,52.764,2.216,4514,269096.214,5183,51.919,1.0,0.0
Reseda,3778,8094,4.285,358852.509,44.336,2.225,3656,183584.708,4171,44.015,1.0,0.0
Lake Balboa,2017,4338,4.301,198428.496,45.742,2.215,1952,101405.27,2212,45.843,1.0,0.0
Leimert Park,800,1647,4.117,91343.84,55.461,2.426,793,49662.18,943,52.664,1.0,0.0
Baldwin Hills/Crenshaw,2392,4680,3.913,155618.547,33.252,2.138,2347,83904.259,2519,33.309,1.0,0.0
San Fernando,1231,2672,4.341,153386.257,57.405,2.406,1202,79665.261,1448,55.017,1.0,0.0
Sylmar,5333,10684,4.007,537940.667,50.35,2.157,4956,295253.4,5704,51.763,1.0,0.0
Beverlywood,686,1375,4.009,50229.424,36.53,2.178,668,25691.352,722,35.584,1.0,0.0
West Los Angeles,886,1862,4.203,82246.883,44.171,2.317,883,43883.965,1004,43.709,1.0,0.0
Cheviot Hills,1247,2554,4.096,76485.684,29.947,2.166,1229,39275.179,1332,29.486,1.0,0.0
Elysian Park,1152,1993,3.46,52639.225,26.412,2.065,1138,31559.909,1160,27.207,1.0,0.0
Chinatown,802,1542,3.845,47459.742,30.778,2.162,786,25809.591,843,30.616,1.0,0.0
Echo Park,2231,4307,3.861,164904.636,38.288,2.201,2142,89831.545,2405,37.352,1.0,0.0
Santa Monica,6219,11791,3.792,500659.662,42.461,2.267,6133,284153.902,7010,40.536,1.0,0.0
Winnetka,3593,7509,4.18,293357.636,39.067,2.152,3401,149733.306,3836,39.034,1.0,0.0
Sherman Oaks,7428,14697,3.957,492353.801,33.5,2.121,7231,265006.766,7801,33.971,1.0,0.0
Redondo Beach,5131,9654,3.763,385171.49,39.898,2.276,5065,219802.215,5752,38.213,1.0,0.0
Torrance,12068,23409,3.88,1064428.966,45.471,2.227,11726,591482.304,13341,44.336,1.0,0.0
Walnut,5212,9724,3.731,359456.091,36.966,2.087,4830,198676.366,5397,36.812,1.0,0.0
Hacienda Heights,5194,10251,3.947,522585.829,50.979,2.132,4746,283544.158,5512,51.441,1.0,0.0
Whittier,7040,14110,4.009,690578.884,48.943,2.226,6685,367141.241,7742,47.422,1.0,0.0
South Whittier,3252,6154,3.785,321031.932,52.166,2.232,3036,179184.384,3570,50.192,1.0,0.0
Griffith Park,2040,2810,2.755,79152.802,28.168,2.05,2026,60471.947,2059,29.37,1.0,0.0
Valley Glen,2874,6073,4.226,292346.816,48.139,2.221,2783,149138.31,3147,47.391,1.0,0.0
Culver City,5256,9432,3.589,292518.859,31.013,2.18,5135,170221.603,5621,30.283,1.0,0.0
Hollywood Hills,8240,15844,3.846,271073.138,17.109,2.045,8045,146674.452,8367,17.53,1.0,0.0
Hollywood,2646,5383,4.069,224692.716,41.741,2.274,2628,118647.909,2943,40.315,1.0,0.0
Commerce,3178,5514,3.47,228348.039,41.412,2.166,3103,137469.519,3373,40.756,1.0,0.0
Silver Lake,3256,6559,4.029,199644.349,30.438,2.144,3187,105711.008,3443,30.703,1.0,0.0
East Hollywood,2248,4450,3.959,156550.118,35.18,2.194,2224,84068.413,2422,34.71,1.0,0.0
